Time resolution is 1 ps
Time=685000 | PC=8000000c | Inst(ID)=00000000 | WB_Reg=29 | WB_Data=00000000 | LED=25 | Stall=0 | Flush=0
Time=695000 | PC=80000010 | Inst(ID)=0011a023 | WB_Reg= 1 | WB_Data=80000024 | LED=25 | Stall=0 | Flush=0
Time=705000 | PC=80000014 | Inst(ID)=00108093 | WB_Reg= 0 | WB_Data=00000000 | LED=25 | Stall=0 | Flush=0
Time=715000 | PC=80000018 | Inst(ID)=00000113 | WB_Reg= 0 | WB_Data=00000000 | LED=25 | Stall=0 | Flush=0
Time=725000 | PC=8000001c | Inst(ID)=00110113 | WB_Reg= 0 | WB_Data=80000000 | LED=25 | Stall=0 | Flush=0
Time=735000 | PC=80000020 | Inst(ID)=fe411ee3 | WB_Reg= 1 | WB_Data=80000025 | LED=25 | Stall=0 | Flush=0
Time=745000 | PC=80000024 | Inst(ID)=fec180ef | WB_Reg= 2 | WB_Data=00000000 | LED=25 | Stall=0 | Flush=1
Time=755000 | PC=80000018 | Inst(ID)=00000000 | WB_Reg= 2 | WB_Data=00000001 | LED=25 | Stall=0 | Flush=0
Time=765000 | PC=8000001c | Inst(ID)=00110113 | WB_Reg=29 | WB_Data=00000001 | LED=25 | Stall=0 | Flush=0
Time=775000 | PC=80000020 | Inst(ID)=fe411ee3 | WB_Reg= 0 | WB_Data=00000000 | LED=25 | Stall=0 | Flush=0
Time=785000 | PC=80000024 | Inst(ID)=fec180ef | WB_Reg= 0 | WB_Data=00000000 | LED=25 | Stall=0 | Flush=1
Time=795000 | PC=80000018 | Inst(ID)=00000000 | WB_Reg= 2 | WB_Data=00000002 | LED=25 | Stall=0 | Flush=0
Time=805000 | PC=8000001c | Inst(ID)=00110113 | WB_Reg=29 | WB_Data=00000001 | LED=25 | Stall=0 | Flush=0
Time=815000 | PC=80000020 | Inst(ID)=fe411ee3 | WB_Reg= 0 | WB_Data=00000000 | LED=25 | Stall=0 | Flush=0
Time=825000 | PC=80000024 | Inst(ID)=fec180ef | WB_Reg= 0 | WB_Data=00000000 | LED=25 | Stall=0 | Flush=0
Time=835000 | PC=80000028 | Inst(ID)=xxxxxxxx | WB_Reg= 2 | WB_Data=00000003 | LED=25 | Stall=0 | Flush=1
Time=845000 | PC=8000000c | Inst(ID)=00000000 | WB_Reg=29 | WB_Data=00000000 | LED=25 | Stall=0 | Flush=0
Time=855000 | PC=80000010 | Inst(ID)=0011a023 | WB_Reg= 1 | WB_Data=80000024 | LED=25 | Stall=0 | Flush=0
Time=865000 | PC=80000014 | Inst(ID)=00108093 | WB_Reg= 0 | WB_Data=00000000 | LED=25 | Stall=0 | Flush=0
Time=875000 | PC=80000018 | Inst(ID)=00000113 | WB_Reg= 0 | WB_Data=00000000 | LED=25 | Stall=0 | Flush=0
Time=885000 | PC=8000001c | Inst(ID)=00110113 | WB_Reg= 0 | WB_Data=80000000 | LED=25 | Stall=0 | Flush=0
Time=895000 | PC=80000020 | Inst(ID)=fe411ee3 | WB_Reg= 1 | WB_Data=80000025 | LED=25 | Stall=0 | Flush=0
Time=905000 | PC=80000024 | Inst(ID)=fec180ef | WB_Reg= 2 | WB_Data=00000000 | LED=25 | Stall=0 | Flush=1
Time=915000 | PC=80000018 | Inst(ID)=00000000 | WB_Reg= 2 | WB_Data=00000001 | LED=25 | Stall=0 | Flush=0
Time=925000 | PC=8000001c | Inst(ID)=00110113 | WB_Reg=29 | WB_Data=00000001 | LED=25 | Stall=0 | Flush=0
Time=935000 | PC=80000020 | Inst(ID)=fe411ee3 | WB_Reg= 0 | WB_Data=00000000 | LED=25 | Stall=0 | Flush=0
Time=945000 | PC=80000024 | Inst(ID)=fec180ef | WB_Reg= 0 | WB_Data=00000000 | LED=25 | Stall=0 | Flush=1
Time=955000 | PC=80000018 | Inst(ID)=00000000 | WB_Reg= 2 | WB_Data=00000002 | LED=25 | Stall=0 | Flush=0
Time=965000 | PC=8000001c | Inst(ID)=00110113 | WB_Reg=29 | WB_Data=00000001 | LED=25 | Stall=0 | Flush=0
Time=975000 | PC=80000020 | Inst(ID)=fe411ee3 | WB_Reg= 0 | WB_Data=00000000 | LED=25 | Stall=0 | Flush=0
Time=985000 | PC=80000024 | Inst(ID)=fec180ef | WB_Reg= 0 | WB_Data=00000000 | LED=25 | Stall=0 | Flush=0
Time=995000 | PC=80000028 | Inst(ID)=xxxxxxxx | WB_Reg= 2 | WB_Data=00000003 | LED=25 | Stall=0 | Flush=1
